person_age,person_income,person_employment_length,loan_grade,loan_amount,loan_interest_rate,loan_status,loan_to_income_ratio,cb_credit_history_length,person_income_log,loan_amount_log,loan_grade_numeric,credit_history_bins,person_home_ownership_other,person_home_ownership_own,person_home_ownership_rent,loan_purpose_education,loan_purpose_home-improvement,loan_purpose_medical,loan_purpose_personal,loan_purpose_venture,cb_person_default_on_file_Y
24,90000,5.0,B,5000,9.99,0,0.06,3,11.407576060361786,8.517393171418904,2,"(0, 5]",0,0,1,0,0,0,0,1,0
24,45600,0.0,A,7200,6.91,0,0.16,4,10.727684925086583,8.881975184248867,1,"(0, 5]",0,0,0,0,0,0,0,0,0
25,45600,6.0,A,15000,5.79,0,0.33,2,10.727684925086583,9.61587214452889,1,"(0, 5]",0,0,0,0,1,0,0,0,0
21,39600,5.0,A,6400,6.91,1,0.16,2,10.586609649448985,8.764209507142004,1,"(0, 5]",0,0,0,0,0,1,0,0,0
22,90000,4.0,D,5000,14.96,0,0.06,4,11.407576060361786,8.517393171418904,4,"(0, 5]",0,0,1,1,0,0,0,0,1
22,45600,5.0,B,2000,10.36,0,0.04,2,10.727684925086583,7.601402334583733,2,"(0, 5]",0,0,0,0,0,0,0,1,0
23,45600,7.0,B,1000,9.62,0,0.02,4,10.727684925086583,6.90875477931522,2,"(0, 5]",0,1,0,0,0,1,0,0,0
25,80000,8.0,D,5000,14.96,1,0.06,4,11.289794413577894,8.517393171418904,4,"(0, 5]",0,0,1,0,0,0,0,0,1
21,94000,4.0,D,5000,16.02,0,0.05,3,11.451060699493429,8.517393171418904,4,"(0, 5]",0,0,1,1,0,0,0,0,0
22,45600,5.0,B,9500,10.38,0,0.21,2,10.727684925086583,9.15915233520675,2,"(0, 5]",0,0,0,0,0,0,0,1,0
23,95004,2.0,A,5000,9.63,0,0.05,4,11.461684800776633,8.517393171418904,1,"(0, 5]",0,0,1,1,0,0,0,0,0
22,45600,6.0,C,1800,13.48,0,0.04,4,10.727684925086583,7.496097345175956,3,"(0, 5]",0,1,0,0,0,1,0,0,0
26,97500,10.0,E_or_lower,5000,18.39,0,0.05,4,11.487617913343598,8.517393171418904,6,"(0, 5]",0,0,1,0,0,0,0,1,0
22,45600,3.0,A,1600,7.88,0,0.04,2,10.727684925086583,7.378383712996715,1,"(0, 5]",0,0,0,0,0,0,0,1,0
23,86004,0.0,D,5000,14.84,1,0.06,2,11.362160713080492,8.517393171418904,4,"(0, 5]",0,0,1,0,0,0,1,0,0
22,39600,6.0,C,4650,10.28,1,0.12,4,10.586609649448985,8.444837529224097,3,"(0, 5]",0,0,0,0,0,0,0,0,0
26,45608,8.0,A,11000,6.62,0,0.24,2,10.727860344448946,9.305741456739437,1,"(0, 5]",0,1,0,0,1,0,0,0,0
22,45673,6.0,A,7000,7.88,0,0.15,4,10.729284487191537,8.853808274977197,1,"(0, 5]",0,0,0,1,0,0,0,0,0
22,45691,5.0,A,7000,7.14,0,0.15,2,10.729678506853835,8.853808274977197,1,"(0, 5]",0,0,0,0,0,0,0,1,0
22,39696,4.0,B,14125,12.42,1,0.36,4,10.58903089706934,9.555772349968867,2,"(0, 5]",0,0,0,1,0,0,0,0,0
23,100000,5.0,A,5000,6.03,0,0.05,2,11.51293546492023,8.517393171418904,1,"(0, 5]",0,0,1,1,0,0,0,0,0
23,100000,5.0,A,5000,8.49,0,0.05,3,11.51293546492023,8.517393171418904,1,"(0, 5]",0,0,1,0,0,0,1,0,0
24,100000,1.0,A,5000,7.966499999999997,0,0.05,3,11.51293546492023,8.517393171418904,1,"(0, 5]",0,0,1,0,0,0,0,0,0
23,45843,2.0,B,11000,11.71,0,0.24,3,10.73299960761659,9.305741456739437,2,"(0, 5]",0,1,0,0,0,0,0,1,0
22,39868,2.0,D,2400,16.02,1,0.06,4,10.59335435854593,7.783640596221253,4,"(0, 5]",0,0,0,0,0,0,0,0,1
22,102240,6.0,E_or_lower,5000,19.03,0,0.05,3,11.535088050471195,8.517393171418904,6,"(0, 5]",0,0,1,0,0,0,1,0,0
25,39896,0.0,A,9250,9.63,1,0.23,3,10.594056412081272,9.132486932771318,1,"(0, 5]",0,0,0,0,0,1,0,0,0
22,45900,1.0,A,6400,8.59,0,0.14,3,10.734242182303689,8.764209507142004,1,"(0, 5]",0,0,0,0,0,0,0,0,0
26,103992,10.0,A,5000,7.88,0,0.05,3,11.552078868165935,8.517393171418904,1,"(0, 5]",0,0,1,0,0,0,0,1,0
26,45900,10.0,C,11500,13.79,0,0.25,4,10.734242182303689,9.35018926709258,3,"(0, 5]",0,0,0,0,0,0,1,0,0
23,106000,7.0,A,5000,7.88,0,0.05,2,11.571203807011967,8.517393171418904,1,"(0, 5]",0,0,1,1,0,0,0,0,0
22,45975,6.0,B,10375,10.8402,0,0.23,4,10.735874800187576,9.24725072599628,2,"(0, 5]",0,0,0,0,0,1,0,0,0
25,106000,4.0,B,5000,11.181900000000011,0,0.05,4,11.571203807011967,8.517393171418904,2,"(0, 5]",0,0,1,0,0,0,1,0,0
23,45992,7.0,A,10000,5.42,0,0.22,3,10.736244489978564,9.210440366976515,1,"(0, 5]",0,0,0,0,0,0,0,1,0
25,39996,9.0,D,1500,15.514699999999989,1,0.04,3,10.596559730283431,7.313886831633462,4,"(0, 5]",0,0,0,0,0,0,0,0,1
24,80155,8.0,E_or_lower,5000,17.7736,1,0.05,3,11.291730014874034,8.517393171418904,6,"(0, 5]",0,0,1,0,0,1,0,0,0
24,108000,8.0,B,5000,12.69,0,0.05,4,11.58989576532275,8.517393171418904,2,"(0, 5]",0,0,1,1,0,0,0,0,0
25,45996,0.0,A,3850,6.767699999999998,0,0.08,2,10.73633145595318,8.25608813381491,1,"(0, 5]",0,1,0,0,1,0,0,0,0
21,45996,5.0,A,10000,5.79,0,0.22,3,10.73633145595318,9.210440366976515,1,"(0, 5]",0,1,0,0,0,0,0,1,0
23,108000,7.0,A,5000,7.66,0,0.05,4,11.58989576532275,8.517393171418904,1,"(0, 5]",0,0,1,1,0,0,0,0,0
26,45996,5.0,A,9225,7.028799999999998,0,0.2,2,10.73633145595318,9.129780864117766,1,"(0, 5]",0,1,0,0,1,0,0,0,0
24,45996,6.0,C,8500,13.293899999999999,0,0.18,3,10.73633145595318,9.04793908261736,3,"(0, 5]",0,0,0,1,0,0,0,0,0
25,110000,2.0,B,5000,9.99,0,0.05,4,11.60824473564232,8.517393171418904,2,"(0, 5]",0,0,1,0,0,0,0,1,0
22,111460,3.0,B,5000,11.71,0,0.04,4,11.62143003291174,8.517393171418904,2,"(0, 5]",0,0,1,0,0,0,0,0,0
25,112000,7.0,B,5000,10.25,0,0.04,3,11.6262630788088,8.517393171418904,2,"(0, 5]",0,0,1,0,0,0,0,0,0
25,45996,9.0,B,25000,12.18,0,0.5,3,10.73633145595318,10.12667110305036,2,"(0, 5]",0,1,0,0,0,0,1,0,0
24,115000,1.0,A,5000,8.9,0,0.04,3,11.652696102959752,8.517393171418904,1,"(0, 5]",0,0,1,0,1,0,0,0,0
24,88400,8.0,D,5000,15.399800000000003,1,0.05,4,11.389638560778948,8.517393171418904,4,"(0, 5]",0,0,1,0,0,1,0,0,0
24,116300,6.0,D,5000,14.96,0,0.04,4,11.663936936922068,8.517393171418904,4,"(0, 5]",0,0,1,0,1,0,0,0,1
23,120000,2.0,A,5000,8.296000000000003,0,0.04,4,11.695255355062796,8.517393171418904,1,"(0, 5]",0,0,1,1,0,0,0,0,0
23,45996,7.0,C,10000,13.16,0,0.22,3,10.73633145595318,9.210440366976515,3,"(0, 5]",0,1,0,1,0,0,0,0,0
26,120000,3.0,A,5000,7.68,0,0.04,2,11.695255355062796,8.517393171418904,1,"(0, 5]",0,0,1,0,1,0,0,0,0
25,120000,6.0,C,5000,13.79,0,0.04,3,11.695255355062796,8.517393171418904,3,"(0, 5]",0,0,1,0,0,0,1,0,0
22,114000,2.0,D,5000,15.31,1,0.04,3,11.643962499267984,8.517393171418904,4,"(0, 5]",0,0,1,0,0,0,0,1,0
26,135000,10.0,B,5000,11.36,0,0.04,4,11.81303746480054,8.517393171418904,2,"(0, 5]",0,0,1,0,0,1,0,0,0
24,137481,8.0,B,5000,10.99,0,0.04,3,11.831248278428513,8.517393171418904,2,"(0, 5]",0,0,1,0,0,0,0,1,0
24,46000,2.0,B,10075,12.42,0,0.22,2,10.736418414365376,9.2179116374725,2,"(0, 5]",0,0,0,0,0,0,0,0,0
23,46000,7.0,A,5000,6.62,0,0.11,3,10.736418414365376,8.517393171418904,1,"(0, 5]",0,0,0,0,0,0,1,0,0
23,150000,3.0,B,5000,10.65,0,0.03,2,11.918397239722838,8.517393171418904,2,"(0, 5]",0,0,1,0,0,0,0,1,0
24,150000,8.0,B,5000,11.232800000000005,0,0.03,4,11.918397239722838,8.517393171418904,2,"(0, 5]",0,0,1,0,0,0,0,1,0
23,138000,1.0,D,5000,14.91,1,0.04,4,11.8350162104899,8.517393171418904,4,"(0, 5]",0,0,1,0,0,0,0,0,0
24,117300,4.0,C,5000,13.23,1,0.04,3,11.672498559754418,8.517393171418904,3,"(0, 5]",0,0,1,0,0,1,0,0,1
25,159996,4.0,D,5000,14.11,0,0.03,4,11.98291034404018,8.517393171418904,4,"(0, 5]",0,0,1,0,0,0,1,0,1
26,46000,3.0,B,11000,12.69,0,0.24,2,10.736418414365376,9.305741456739437,2,"(0, 5]",0,0,0,0,1,0,0,0,0
25,21600,0.0,B,5200,11.86,1,0.24,3,9.980494888896912,8.556606193773073,2,"(0, 5]",0,0,1,0,0,1,0,0,0
22,24000,0.0,C,5200,13.49,0,0.22,2,10.085850775128716,8.556606193773073,3,"(0, 5]",0,0,1,0,0,0,0,0,1
25,25000,1.0,C,5200,12.53,0,0.21,3,10.12667110305036,8.556606193773073,3,"(0, 5]",0,0,1,1,0,0,0,0,1
25,46000,4.0,C,2125,12.99,0,0.05,2,10.736418414365376,7.661997558901893,3,"(0, 5]",0,0,0,1,0,0,0,0,1
23,46000,1.0,A,3000,5.42,0,0.07,3,10.736418414365376,8.006700845440367,1,"(0, 5]",0,0,0,0,0,0,0,1,0
21,26000,5.0,B,5200,12.53,0,0.2,2,10.165890277802454,8.556606193773073,2,"(0, 5]",0,0,1,0,0,1,0,0,0
23,30000,1.0,C,5200,15.96,0,0.17,3,10.308985993422082,8.556606193773073,3,"(0, 5]",0,0,1,0,0,1,0,0,1
23,46000,6.0,A,15000,6.99,0,0.33,3,10.736418414365376,9.61587214452889,1,"(0, 5]",0,0,0,0,0,0,1,0,0
25,30000,2.0,E_or_lower,5200,17.19,1,0.17,4,10.308985993422082,8.556606193773073,6,"(0, 5]",0,0,1,0,0,0,0,0,0
25,32160,9.0,C,5200,14.65,0,0.16,4,10.37850981733684,8.556606193773073,3,"(0, 5]",0,0,1,0,0,0,0,0,0
23,35000,0.0,C,5200,13.92,0,0.15,2,10.463131911491969,8.556606193773073,3,"(0, 5]",0,0,1,0,0,0,0,0,0
22,36850,3.0,B,5200,12.42,0,0.14,4,10.514638034291345,8.556606193773073,2,"(0, 5]",0,0,1,1,0,0,0,0,0
25,38000,5.0,B,5200,10.74,0,0.14,3,10.545367754151744,8.556606193773073,2,"(0, 5]",0,0,1,0,0,0,0,0,0
23,38000,1.0,A,5200,7.88,0,0.14,3,10.545367754151744,8.556606193773073,1,"(0, 5]",0,0,1,0,0,1,0,0,0
22,46000,6.0,C,6000,12.68,0,0.13,4,10.736418414365376,8.699681400989514,3,"(0, 5]",0,0,0,1,0,0,0,0,1
23,24000,3.0,A,5250,7.66,1,0.22,3,10.085850775128716,8.566173813637858,1,"(0, 5]",0,0,1,1,0,0,0,0,0
24,46000,8.0,A,2000,7.66,0,0.04,2,10.736418414365376,7.601402334583733,1,"(0, 5]",0,0,0,0,0,1,0,0,0
22,46000,6.0,B,4000,10.37,0,0.09,2,10.736418414365376,8.294299608857235,2,"(0, 5]",0,0,0,0,0,0,1,0,0
23,45000,3.0,B,5275,10.39,0,0.12,2,10.714439990727769,8.570923513837204,2,"(0, 5]",0,0,1,0,0,1,0,0,0
24,57600,3.0,C,5275,13.49,0,0.09,2,10.961295207644392,8.570923513837204,3,"(0, 5]",0,0,1,0,0,0,1,0,1
23,46000,2.0,B,10000,10.36,0,0.22,3,10.736418414365376,9.210440366976515,2,"(0, 5]",0,0,0,0,0,1,0,0,0
23,23340,8.0,A,5300,7.9,0,0.23,3,10.057966749824187,8.575650760987806,1,"(0, 5]",0,0,1,1,0,0,0,0,0
22,24996,4.0,C,5300,15.23,0,0.21,4,10.12651109664976,8.575650760987806,3,"(0, 5]",0,0,1,0,0,0,1,0,1
24,46000,5.0,B,10000,9.99,0,0.22,2,10.736418414365376,9.210440366976515,2,"(0, 5]",0,0,0,1,0,0,0,0,0
25,26400,5.0,A,5300,8.49,0,0.2,3,10.181157167204905,8.575650760987806,1,"(0, 5]",0,0,1,1,0,0,0,0,0
23,46000,4.0,A,3000,7.88,0,0.07,3,10.736418414365376,8.006700845440367,1,"(0, 5]",0,0,0,0,0,1,0,0,0
24,28800,0.0,C,5300,15.27,0,0.18,3,10.268165387743457,8.575650760987806,3,"(0, 5]",0,0,1,0,0,1,0,0,0
25,30000,1.0,C,5300,15.27,0,0.18,3,10.308985993422082,8.575650760987806,3,"(0, 5]",0,0,1,1,0,0,0,0,0
22,30000,2.0,E_or_lower,5300,17.99,1,0.18,4,10.308985993422082,8.575650760987806,6,"(0, 5]",0,0,1,1,0,0,0,0,1
24,30000,3.0,D,5300,15.28,1,0.18,3,10.308985993422082,8.575650760987806,4,"(0, 5]",0,0,1,0,0,1,0,0,1
25,46000,5.0,B,23500,10.25,0,0.5,4,10.736418414365376,10.064798252418376,2,"(0, 5]",0,0,0,1,0,0,0,0,0
21,47000,1.0,A,5300,7.66,0,0.11,2,10.757924157061597,8.575650760987806,1,"(0, 5]",0,0,1,0,0,1,0,0,0
22,50004,5.0,D,5300,14.42,0,0.11,2,10.819878279410617,8.575650760987806,4,"(0, 5]",0,0,1,0,0,0,1,0,1
22,65000,3.0,A,5300,6.62,0,0.08,3,11.082157933374816,8.575650760987806,1,"(0, 5]",0,0,1,1,0,0,0,0,0
25,40000,5.0,B,15000,11.36,1,0.38,2,10.59665973278358,9.61587214452889,2,"(0, 5]",0,0,0,0,1,0,0,0,0
21,22000,4.0,B,5325,12.42,1,0.24,3,9.99884318585288,8.580355766373877,2,"(0, 5]",0,0,1,0,0,0,1,0,0
21,32000,5.0,C,5325,14.27,0,0.17,3,10.373522431293592,8.580355766373877,3,"(0, 5]",0,0,1,0,0,0,1,0,1
23,46000,6.0,B,8000,11.48,0,0.17,4,10.736418414365376,8.987321812850125,2,"(0, 5]",0,1,0,1,0,0,0,0,0
24,24000,0.0,B,5375,10.99,0,0.22,3,10.085850775128716,8.589699882202986,2,"(0, 5]",0,0,1,0,0,1,0,0,0
24,26000,1.0,C,5375,13.47,0,0.21,4,10.165890277802454,8.589699882202986,3,"(0, 5]",0,0,1,0,0,1,0,0,1
24,18000,3.0,D,5400,15.99,1,0.3,3,9.798182590890704,8.594339400592892,4,"(0, 5]",0,0,1,0,0,1,0,0,1
22,18000,2.0,C,5400,15.23,1,0.3,4,9.798182590890704,8.594339400592892,3,"(0, 5]",0,0,1,0,0,0,0,0,0
25,46000,1.0,C,8600,12.829999999999993,0,0.19,2,10.736418414365376,9.05963375455148,3,"(0, 5]",0,0,0,0,1,0,0,0,0
22,46000,3.0,A,6000,7.68,0,0.13,2,10.736418414365376,8.699681400989514,1,"(0, 5]",0,0,0,0,0,0,0,0,0
23,21600,0.0,C,5400,13.453299999999999,0,0.25,4,9.980494888896912,8.594339400592892,3,"(0, 5]",0,0,1,0,0,1,0,0,1
26,24000,3.0,B,5400,11.49,0,0.23,3,10.085850775128716,8.594339400592892,2,"(0, 5]",0,0,1,1,0,0,0,0,0
26,25300,2.0,D,5400,16.02,1,0.21,2,10.138599199626192,8.594339400592892,4,"(0, 5]",0,0,1,0,1,0,0,0,1
21,46000,5.0,D,10000,14.74,0,0.22,3,10.736418414365376,9.210440366976515,4,"(0, 5]",0,1,0,0,0,0,0,1,1
23,26400,7.0,B,5400,10.38,0,0.2,2,10.181157167204905,8.594339400592892,2,"(0, 5]",0,0,1,1,0,0,0,0,0
21,46002,4.0,D,4000,15.279799999999993,0,0.09,3,10.736461890735974,8.294299608857235,4,"(0, 5]",0,0,0,0,0,0,0,1,1
26,30000,3.0,B,5400,10.0,0,0.18,4,10.308985993422082,8.594339400592892,2,"(0, 5]",0,0,1,0,0,0,1,0,0
22,32000,1.0,D,5400,16.29,1,0.17,2,10.373522431293592,8.594339400592892,4,"(0, 5]",0,0,1,0,0,0,1,0,0
26,33600,0.0,A,5400,8.225899999999998,0,0.16,4,10.42231110741318,8.594339400592892,1,"(0, 5]",0,0,1,0,0,0,1,0,0
23,35000,7.0,B,5400,10.59,0,0.15,2,10.463131911491969,8.594339400592892,2,"(0, 5]",0,0,1,0,0,0,1,0,0
23,46113,4.0,D,9000,15.99,0,0.2,4,10.738871870516558,9.105090961257083,4,"(0, 5]",0,0,0,0,0,0,1,0,1
25,46116,9.0,C,10000,11.03,0,0.22,3,10.738936924565651,9.210440366976515,3,"(0, 5]",0,0,0,0,0,0,0,0,0
25,46144,9.0,A,1500,7.49,0,0.03,2,10.739543891699675,7.313886831633462,1,"(0, 5]",0,0,0,1,0,0,0,0,0
23,35000,5.0,C,5400,12.84,0,0.15,4,10.463131911491969,8.594339400592892,3,"(0, 5]",0,0,1,0,0,1,0,0,0
26,36000,4.0,A,5400,8.9,0,0.15,2,10.491301994830229,8.594339400592892,1,"(0, 5]",0,0,1,0,0,0,0,1,0
22,45000,4.0,A,5400,7.29,0,0.12,2,10.714439990727769,8.594339400592892,1,"(0, 5]",0,0,1,1,0,0,0,0,0
25,54000,9.0,A,5400,7.88,0,0.1,3,10.896757843893464,8.594339400592892,1,"(0, 5]",0,0,1,1,0,0,0,0,0
23,55000,3.0,B,5400,11.99,0,0.1,2,10.915106645867503,8.594339400592892,2,"(0, 5]",0,0,1,0,0,0,0,1,0
24,46325,6.0,A,3600,7.68,0,0.08,4,10.74345863753687,8.188966863648876,1,"(0, 5]",0,0,0,0,0,1,0,0,0
22,57500,4.0,A,5400,5.42,0,0.09,4,10.959557617938565,8.594339400592892,1,"(0, 5]",0,0,1,0,0,1,0,0,0
25,46350,0.0,B,9750,10.0,0,0.21,3,10.743998145734295,9.18512512283512,2,"(0, 5]",0,0,0,0,0,0,0,1,0
23,46394,7.0,C,15000,13.47,0,0.32,2,10.74494697378728,9.61587214452889,3,"(0, 5]",0,0,0,0,0,1,0,0,0
23,60000,4.0,A,5400,7.49,0,0.09,3,11.002116507732016,8.594339400592892,1,"(0, 5]",0,0,1,0,0,1,0,0,0
23,63000,3.0,D,5400,14.54,0,0.09,2,11.050905878263569,8.594339400592892,4,"(0, 5]",0,0,1,0,0,0,0,1,0
23,46450,6.0,A,10000,5.42,0,0.22,2,10.746153272535546,9.210440366976515,1,"(0, 5]",0,0,0,1,0,0,0,0,0
26,46464,1.0,B,15000,12.21,0,0.32,3,10.74645461999144,9.61587214452889,2,"(0, 5]",0,0,0,0,0,0,0,1,0
22,58617,6.0,D,5400,15.21,1,0.09,2,10.978797095634402,8.594339400592892,4,"(0, 5]",0,0,1,0,0,1,0,0,0
22,46500,3.0,A,13000,7.29,0,0.28,3,10.747229096720554,9.472781556562168,1,"(0, 5]",0,0,0,0,0,0,0,1,0
22,69108,2.0,E_or_lower,5400,15.95,1,0.08,2,11.143440247294745,8.594339400592892,6,"(0, 5]",0,0,1,0,0,0,1,0,1
24,112000,5.0,C,5400,15.27,0,0.05,4,11.6262630788088,8.594339400592892,3,"(0, 5]",0,0,1,0,0,0,0,0,1
22,22718,3.0,B,5425,11.99,0,0.24,2,10.030956857781932,8.598957493218878,2,"(0, 5]",0,0,1,1,0,0,0,0,0
23,46500,2.0,D,6000,15.037999999999995,0,0.13,2,10.747229096720554,8.699681400989514,4,"(0, 5]",0,1,0,0,0,0,0,0,1
22,46500,1.0,B,4000,10.62,0,0.09,3,10.747229096720554,8.294299608857235,2,"(0, 5]",0,0,0,1,0,0,0,0,0
24,40500,8.0,B,8500,10.99,1,0.21,3,10.609081944147828,9.04793908261736,2,"(0, 5]",0,0,0,0,0,0,0,0,0
21,46500,5.0,D,1300,14.96,0,0.03,2,10.747229096720554,7.170888478512505,4,"(0, 5]",0,0,0,1,0,0,0,0,0
26,83004,7.0,A,5450,7.9,0,0.07,4,11.326656125928176,8.603554357064281,1,"(0, 5]",0,0,1,1,0,0,0,0,0
24,46500,0.0,C,16000,12.53,0,0.34,3,10.747229096720554,9.680406499268877,3,"(0, 5]",0,0,0,0,1,0,0,0,1
22,46500,1.0,B,12000,12.21,0,0.26,3,10.747229096720554,9.39274525863144,2,"(0, 5]",0,0,0,1,0,0,0,0,0
23,46551,7.0,B,15000,10.62,0,0.32,4,10.748325246336506,9.61587214452889,2,"(0, 5]",0,0,0,0,0,0,0,1,0
22,14400,5.0,B,5500,10.36,1,0.46,4,9.575052927597383,8.612685172875459,2,"(0, 5]",0,0,1,1,0,0,0,0,0
21,14400,4.0,B,5500,11.48,1,0.38,3,9.575052927597383,8.612685172875459,2,"(0, 5]",0,0,1,0,0,1,0,0,0
21,15192,4.0,C,5500,13.11,1,0.36,3,9.628590074443766,8.612685172875459,3,"(0, 5]",0,0,1,0,0,0,1,0,1
26,15436,4.0,A,5500,7.88,1,0.36,3,9.64452250418184,8.612685172875459,1,"(0, 5]",0,0,1,0,0,0,0,0,0
25,18000,1.0,B,5500,11.71,1,0.31,2,9.798182590890704,8.612685172875459,2,"(0, 5]",0,0,1,0,0,0,1,0,0
23,19136,4.0,E_or_lower,5500,17.93,1,0.29,3,9.859378912910064,8.612685172875459,6,"(0, 5]",0,0,1,1,0,0,0,0,1
23,46776,7.0,D,15000,13.24,0,0.32,4,10.753146908111685,9.61587214452889,4,"(0, 5]",0,1,0,0,0,0,0,0,0
25,40800,5.0,E_or_lower,7000,19.03,1,0.17,4,10.616461869895817,8.853808274977197,6,"(0, 5]",0,1,0,0,1,0,0,0,0
26,46800,3.0,B,12725,12.42,0,0.27,2,10.753659849198824,9.451402423792738,2,"(0, 5]",0,0,0,0,1,0,0,0,0
23,46800,4.0,A,5000,6.99,0,0.11,2,10.753659849198824,8.517393171418904,1,"(0, 5]",0,0,0,0,0,0,1,0,0
23,20400,5.0,D,5500,15.537199999999995,0,0.27,2,9.923339198238727,8.612685172875459,4,"(0, 5]",0,0,1,0,0,0,0,1,1
24,46800,6.0,A,12000,6.99,0,0.26,2,10.753659849198824,9.39274525863144,1,"(0, 5]",0,0,0,0,0,0,0,0,0
23,21600,3.0,B,5500,9.25,0,0.25,4,9.980494888896912,8.612685172875459,2,"(0, 5]",0,0,1,1,0,0,0,0,0
26,46800,4.0,D,6000,14.91,0,0.13,2,10.753659849198824,8.699681400989514,4,"(0, 5]",0,0,0,0,1,0,0,0,0
23,46800,7.0,C,9000,13.849299999999998,0,0.19,4,10.753659849198824,9.105090961257083,3,"(0, 5]",0,1,0,0,0,0,0,1,1
22,46800,4.0,A,3600,7.14,0,0.08,3,10.753659849198824,8.188966863648876,1,"(0, 5]",0,0,0,0,0,1,0,0,0
21,21700,2.0,D,5500,14.91,1,0.25,2,9.985113621416073,8.612685172875459,4,"(0, 5]",0,0,1,0,1,0,0,0,0
23,22000,1.0,C,5500,13.04,0,0.25,4,9.99884318585288,8.612685172875459,3,"(0, 5]",0,0,1,1,0,0,0,0,0
24,23000,4.0,A,5500,6.54,0,0.24,3,10.043292972227004,8.612685172875459,1,"(0, 5]",0,0,1,0,0,1,0,0,0
21,46800,4.0,A,5000,7.51,0,0.11,3,10.753659849198824,8.517393171418904,1,"(0, 5]",0,0,0,0,0,0,0,0,0
22,23004,3.0,A,5500,5.79,0,0.24,3,10.043466862589568,8.612685172875459,1,"(0, 5]",0,0,1,0,0,0,1,0,0
22,46800,4.0,A,11500,7.51,0,0.25,4,10.753659849198824,9.35018926709258,1,"(0, 5]",0,1,0,1,0,0,0,0,0
24,24000,5.0,C,5500,14.27,0,0.23,3,10.085850775128716,8.612685172875459,3,"(0, 5]",0,0,1,0,0,0,1,0,1
24,46800,8.0,C,6000,14.22,0,0.13,4,10.753659849198824,8.699681400989514,3,"(0, 5]",0,0,0,0,0,0,0,1,1
23,24000,0.0,C,5500,13.99,0,0.23,4,10.085850775128716,8.612685172875459,3,"(0, 5]",0,0,1,0,0,0,1,0,0
23,24000,1.0,B,5500,10.99,0,0.23,4,10.085850775128716,8.612685172875459,2,"(0, 5]",0,0,1,0,0,0,0,1,0
23,46800,4.0,A,13000,8.59,0,0.28,2,10.753659849198824,9.472781556562168,1,"(0, 5]",0,0,0,0,0,0,1,0,0
23,25000,0.0,A,5500,9.32,0,0.22,4,10.12667110305036,8.612685172875459,1,"(0, 5]",0,0,1,0,0,0,1,0,0
23,25200,1.0,A,5500,7.9,0,0.22,2,10.134638955251866,8.612685172875459,1,"(0, 5]",0,0,1,1,0,0,0,0,0
22,26400,0.0,C,5500,13.72,0,0.21,2,10.181157167204905,8.612685172875459,3,"(0, 5]",0,0,1,1,0,0,0,0,1
23,46932,4.0,A,7000,5.79,0,0.15,4,10.75647633174002,8.853808274977197,1,"(0, 5]",0,1,0,1,0,0,0,0,0
22,46976,5.0,C,11000,14.26,0,0.23,2,10.757413399213553,9.305741456739437,3,"(0, 5]",0,1,0,0,0,0,1,0,1
22,26784,6.0,D,5500,14.74,1,0.21,4,10.19559730831506,8.612685172875459,4,"(0, 5]",0,0,1,0,0,0,0,0,0
23,27996,3.0,C,5500,12.53,0,0.2,2,10.239852640559992,8.612685172875459,3,"(0, 5]",0,0,1,0,0,1,0,0,0
24,47000,9.0,C,9600,15.96,0,0.2,2,10.757924157061597,9.169622538697624,3,"(0, 5]",0,0,0,0,0,0,0,1,0
25,28800,0.0,B,5500,9.76,0,0.19,4,10.268165387743457,8.612685172875459,2,"(0, 5]",0,0,1,0,0,0,0,0,0
22,30000,2.0,B,5500,11.86,0,0.18,3,10.308985993422082,8.612685172875459,2,"(0, 5]",0,0,1,0,0,0,1,0,0
22,30000,1.0,B,5500,12.53,0,0.18,4,10.308985993422082,8.612685172875459,2,"(0, 5]",0,0,1,0,0,0,1,0,0
22,41000,6.0,A,7000,7.9,1,0.17,4,10.62135173563291,8.853808274977197,1,"(0, 5]",0,0,0,0,0,0,0,0,0
25,30000,2.0,A,5500,8.0,0,0.18,4,10.308985993422082,8.612685172875459,1,"(0, 5]",0,0,1,1,0,0,0,0,0
24,47000,0.0,C,12000,13.49,0,0.26,3,10.757924157061597,9.39274525863144,3,"(0, 5]",0,0,0,0,0,0,1,0,1
25,47000,9.0,A,7000,7.51,0,0.15,4,10.757924157061597,8.853808274977197,1,"(0, 5]",0,1,0,0,0,0,1,0,0
24,33000,3.0,B,5500,11.11,0,0.17,4,10.404293143019792,8.612685172875459,2,"(0, 5]",0,0,1,0,0,0,1,0,0
22,33000,0.0,E_or_lower,5500,18.46610000000001,1,0.17,3,10.404293143019792,8.612685172875459,6,"(0, 5]",0,0,1,0,0,0,0,0,1
24,47000,8.0,B,3000,12.69,0,0.06,3,10.757924157061597,8.006700845440367,2,"(0, 5]",0,0,0,0,0,0,1,0,0
26,47000,5.0,A,6600,7.9,0,0.14,2,10.757924157061597,8.79497643168877,1,"(0, 5]",0,0,0,0,0,1,0,0,0
22,47000,7.0,C,10600,15.96,0,0.23,4,10.757924157061597,9.268703615273097,3,"(0, 5]",0,0,0,0,0,0,1,0,1
23,33000,7.0,D,5500,14.54,0,0.17,3,10.404293143019792,8.612685172875459,4,"(0, 5]",0,0,1,0,0,0,1,0,1
